0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,country
28.801,8425333,779.4453145,AFG,Asia,1952,0.004751678066186258,-0.6525648551335724,-0.3389240762753416,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
30.332,9240934,820.8530296,AFG,Asia,1957,0.005117205927221811,-0.6483635263269324,-0.3338230864131393,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
31.997,10267083,853.10071,AFG,Asia,1962,0.005401873304098401,-0.6450915972121612,-0.3298505153499283,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
34.02,11537966,836.1971382,AFG,Asia,1967,0.00525265651131007,-0.6468066752590165,-0.33193285551717916,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
36.088,13079460,739.9811058,AFG,Asia,1972,0.004403306566847681,-0.6565689909918816,-0.34378564683078966,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
38.438,14880372,786.11336,AFG,Asia,1977,0.004810540440094515,-0.6518882988064367,-0.33810264402741247,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
39.854,12881816,978.0114388,AFG,Asia,1982,0.006504526551407283,-0.6324178468760593,-0.31446284279300646,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
40.822,13867957,852.3959448,AFG,Asia,1987,0.005395651967918268,-0.6451631044259626,-0.3299373349228449,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
41.674,16317921,649.3413952,AFG,Asia,1992,0.003603181772217331,-0.6657655193743254,-0.35495149463878806,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
41.763,22227415,635.341351,AFG,Asia,1997,0.0034795959573886066,-0.6671859983563133,-0.35667615110346185,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
42.129,25268405,726.7340548,AFG,Asia,2002,0.0042863678223319535,-0.6579130694283498,-0.34541754254616275,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
43.828,31889923,974.5803384,AFG,Asia,2007,0.006474238408553193,-0.6327659747772049,-0.31488551785040403,0.0,0.0,1.0,0.0,0.0,0.0,Afghanistan
69.39,1282697,1601.056136,ALB,Europe,1952,0.012004472514304901,-0.569202196656068,-0.23771036619677527,0.0,0.0,0.0,1.0,0.0,0.0,Albania
59.28,1476505,1942.284244,ALB,Europe,1957,0.015016673987900547,-0.534580351999499,-0.1956746944529243,0.0,0.0,0.0,1.0,0.0,0.0,Albania
64.82,1728137,2312.888958,ALB,Europe,1962,0.018288198342020556,-0.49697788451138636,-0.15002013745954856,0.0,0.0,0.0,1.0,0.0,0.0,Albania
66.22,1984060,2760.196931,ALB,Europe,1967,0.022236823041547598,-0.4515929153609238,-0.09491655519124564,0.0,0.0,0.0,1.0,0.0,0.0,Albania
67.69,2263554,3313.422188,ALB,Europe,1972,0.027120435778297085,-0.39546131758544256,-0.02676509064759323,0.0,0.0,0.0,1.0,0.0,0.0,Albania
68.93,2509048,3533.00391,ALB,Europe,1977,0.0290588000896658,-0.3731820150008328,0.00028504083495607994,0.0,0.0,0.0,1.0,0.0,0.0,Albania
70.42,2780097,3630.880722,ALB,Europe,1982,0.029922810616422418,-0.36325119247743093,0.012342422522183948,0.0,0.0,0.0,1.0,0.0,0.0,Albania
72.0,3075321,3738.932735,ALB,Europe,1987,0.030876643038643552,-0.35228796898789483,0.025653280693722143,0.0,0.0,0.0,1.0,0.0,0.0,Albania
71.581,3326498,2497.437901,ALB,Europe,1992,0.019917309734142796,-0.47825309400825466,-0.12728567155024353,0.0,0.0,0.0,1.0,0.0,0.0,Albania
72.95,3428038,3193.054604,ALB,Europe,1997,0.02605788727951413,-0.4076741092553906,-0.04159309611080206,0.0,0.0,0.0,1.0,0.0,0.0,Albania
