mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,21st century classical,0.9793333333333332,0.16288333333333335,160297.66666666663,0.07131666666666665,0.60683367,0.3616,-31.514333333333337,0.04056666666666667,75.3365,0.10378333333333334,27.83333333333333,6
1,432hz,0.49478,0.2993333333333333,1048887.333333333,0.4506783333333333,0.4777616666666668,0.131,-16.854,0.07681666666666667,120.28566666666666,0.22175,52.5,5
1,8-bit,0.762,0.7120000000000001,115177.0,0.818,0.8759999999999999,0.126,-9.18,0.047,133.444,0.975,48.0,7
1,[],0.6514170195595453,0.5290925603549332,232880.8902503945,0.4191460727353524,0.2053091895111363,0.21869585415040735,-12.288964675489455,0.10787155868681396,112.8573524318416,0.5136042963588958,20.859882191849056,7
1,a cappella,0.676557304985755,0.5389612464387464,190628.5408867521,0.3164335701566952,0.003003441440420227,0.1722541371082621,-12.479387421652426,0.08285143981481483,112.1103620014245,0.44824865455840457,45.82007122507122,7
1,abstract,0.45921,0.5161666666666667,343196.5,0.4424166666666666,0.8496666666666667,0.1180666666666667,-15.472083333333332,0.046516666666666664,127.88575000000002,0.307325,43.5,1
1,abstract beats,0.3421466666666667,0.623,229936.2,0.5277999999999999,0.3336026120000001,0.09965333333333334,-7.918000000000001,0.11637333333333333,112.4138,0.4935066666666666,58.93333333333332,10
1,abstract hip hop,0.2438540633608816,0.6945709366391184,231849.23415977962,0.6462346418732783,0.0242312629201102,0.1685429201101929,-7.349327823691461,0.21425769972451789,108.24498650137741,0.5713909090909091,39.79070247933884,2
0,accordeon,0.32299999999999995,0.588,164000.0,0.392,0.441,0.0794,-14.899,0.0727,109.131,0.7090000000000001,39.0,2
1,accordion,0.446125,0.6248125,167061.5625,0.3734375,0.19373839375,0.1603,-14.4870625,0.07853750000000001,112.8724375,0.6586875000000001,21.9375,2
0,acid house,0.06795053846153845,0.6774,297188.05384615384,0.7244030769230769,0.3858910307692308,0.2334884615384616,-9.381199999999998,0.05585538461538461,126.49209230769232,0.5676769230769231,46.63846153846154,7
1,acid rock,0.2569145079725167,0.4472389930828895,259203.9143310266,0.5806492948018793,0.15092567737840148,0.2304514628310576,-11.43307330938882,0.06759985278233482,125.65952227133604,0.5344474777454798,32.67595532906288,2
1,acid trance,0.00683,0.6629999999999999,221160.0,0.925,0.703,0.185,-6.775,0.0449,132.687,0.843,62.0,9
1,acousmatic,0.9170191062801932,0.4204582850241546,185040.2595531401,0.2385243417874396,0.6162484134359903,0.2610061823671498,-20.96456474637681,0.08061773913043478,104.07463265700486,0.3244473852657005,9.342524154589373,5
1,acoustic blues,0.761723539455837,0.6069147720232645,204321.25087923245,0.3606592945953496,0.09891813613614234,0.18309821355287112,-12.55490505937252,0.06881536422902226,113.28452122830322,0.633785722320662,23.74606007693052,7
1,acoustic pop,0.4902350260381985,0.5351083171521532,235379.78355519095,0.4764399220103099,0.033338280109024794,0.1577504987283953,-9.297247893173367,0.04177066481431856,117.88741975150835,0.3794153530026807,53.11550474564842,7
1,acoustic punk,0.4049000220385675,0.5391115702479339,192332.11845730024,0.6158241505968779,0.061939951303948575,0.20948062442607893,-8.010774104683195,0.06357052341597796,122.30848852157943,0.7305188246097337,40.37649219467401,9
1,acoustic rock,0.6132007936507936,0.5243968253968254,195036.0,0.4160026455026456,0.32147492174603176,0.14051838624338622,-10.54062037037037,0.03468108465608465,122.6556626984127,0.3802986772486773,51.10978835978836,7
0,action rock,0.229,0.412,198400.0,0.938,0.000259,0.106,-0.253,0.182,97.489,0.32,47.0,4
1,adoracion,0.4328571428571428,0.5047142857142857,302906.0714285714,0.5207499999999999,0.0,0.31598571428571426,-8.010071428571429,0.038203571428571434,130.7106785714286,0.3115714285714285,46.39285714285714,9
1,adult standards,0.6556483763400994,0.4963276348996665,197331.50159436095,0.38205358211294455,0.1181935743093194,0.19677674369326426,-12.221776284593986,0.05315781803767933,113.38117658884272,0.4993761805789757,31.63490210889541,0
1,adventista,0.7841433333333333,0.5315,202876.65,0.3193833333333333,7.450333333333336e-06,0.14129,-9.338766666666668,0.028986666666666668,113.38845,0.5145166666666666,27.266666666666666,6
1,afghan pop,0.4106285714285714,0.6517142857142858,326503.9285714286,0.6515714285714286,0.0009111632142857145,0.0874607142857143,-9.152178571428571,0.0844142857142857,113.59471428571429,0.7841071428571428,39.32142857142857,7
1,afghan traditional,0.958,0.4403333333333333,278581.33333333326,0.32366666666666666,0.4007066666666666,0.17766666666666664,-14.49766666666667,0.14603333333333332,94.06966666666666,0.7106666666666666,6.333333333333332,1
0,african percussion,0.327,0.6003636363636364,289556.2727272727,0.7897272727272727,0.2573806909090909,0.12787272727272728,-6.729636363636363,0.0797090909090909,130.1315454545454,0.4457272727272727,15.454545454545455,0
1,african reggae,0.2458,0.753,267673.375,0.662125,0.003534624374999999,0.11122500000000002,-7.446874999999999,0.05889375,116.5645,0.7709999999999999,45.8125,7
1,african rock,0.13985650416666667,0.6688958333333335,236075.3125,0.6110625000000001,0.09379615000000002,0.14969375,-9.36175,0.07265416666666667,115.7093125,0.6064583333333333,42.270833333333336,8
1,african-american classical,0.9255341402855372,0.28397566728739904,218619.10024829302,0.14219492240844198,0.43202726168218497,0.14335406579764126,-24.61947206703911,0.058810474860335187,132.72893202979515,0.2644644165114836,30.649441340782122,5
0,afro dancehall,0.14390024821969696,0.6434583333333334,199565.22853535356,0.7646818181818181,0.007226254292929293,0.16877702020202026,-5.698983585858586,0.16015214646464648,131.96408964646463,0.6193598484848485,44.135101010101,11
1,afro house,0.32166666666666666,0.636,236572.33333333328,0.5706666666666668,0.13356733333333334,0.12583333333333335,-10.103833333333332,0.12703333333333333,139.69799999999998,0.6205,48.33333333333334,6
1,afro psych,0.2280666666666667,0.6243333333333334,331866.66666666674,0.722,0.1449692433333333,0.2333333333333333,-10.926333333333332,0.05453333333333333,111.682,0.8303333333333334,36.0,7
0,afro soul,0.00627,0.7659999999999999,202627.0,0.873,0.0,0.0764,-6.381,0.14300000000000002,126.988,0.743,77.0,11
1,afro-funk,0.1375592592592593,0.8031481481481482,286121.48148148146,0.7242962962962963,0.07984042222222222,0.09370370370370372,-8.909833333333333,0.09594629629629632,114.17362962962964,0.8796296296296297,28.33333333333333,0
1,afrobeat,0.3608718067607344,0.6329610303477765,320584.21705094987,0.6190763879414471,0.31402376459462283,0.1520585542783834,-9.931080518421174,0.06037769285849096,117.10862177680056,0.710820172464364,39.994356615573814,0
1,afrofuturism,0.2481634593146479,0.6335189768676742,288939.43166504195,0.581705356229114,0.12796114528470726,0.19754527869490995,-9.079584287901103,0.14194756368764902,110.50069322962165,0.4588383044797964,45.43323475601021,7
0,afrofuturismo brasileiro,0.626,0.484,247120.0,0.81,0.000283,0.11,-4.579,0.0377,144.454,0.422,37.0,7
